idiom,def
Cast Iron Stomach,Someone who has no ill effects with eating anything.
Cast Iron Stomach,Someone who has no ill effects with drinking anything.
Cast Iron Stomach,Someone who has no problems complications effects with eating anything.
Cast Iron Stomach,Someone who has no problems complications effects with drinking anything.
Cast Iron Stomach,Someone who has no problems ill effects with eating anything.
Cast Iron Stomach,Someone who has no problems ill effects with drinking anything.
Charley Horse,Stiffness in the leg.
Charley Horse,A leg cramp.
Chew someone out,Verbally scold someone.
Chip on his Shoulder,Angry today about something that occured in the past.
Chow Down,To eat.
Close but no Cigar,To be very near and almost accomplish a goal but fall short.
Come Hell Or High Water,Any difficult obstacle.
Come Hell Or High Water,Any difficult situation.
Crack Someone Up,To make someone laugh.
Cross Your Fingers,To hope that something happens the way you want it to.
Cry Over Spilt Milk,When you complain about a loss from the past.
Cry Wolf,Intentionally raise a false alarm.
Cup Of Joe,A cup of coffee.
Curiosity Killed The Cat,Being Inquisitive can lead you into a dangerous situation.
Cut to the Chase,Leave out all the unnecessary details and just get to the point.
Dark Horse,One who was previously unknown and is now prominent.
Dead Ringer,100% identical. A duplicate.
Devil's Advocate,Someone who takes a position for the sake of argument without believing in that particular side of the arguement. It can also mean one who presents a counter argument for a position they do believe in to another debater.
Dog Days of Summer,The hottest days of the summer season.
Don't count your chickens before they hatch,Don't rely on it until your sure of it.
Don't Look A Gift Horse In The Mouth,When someone gives you a gift don't be ungrateful.
Don't Put All Your Eggs In One Basket,Do not put all your resources in one possibility.
Doozy,Something outstanding.
Down To The Wire,Something that ends at the last minute.
Down To The Wire,Something that ends at the last few seconds.
Down To The Wire,Something that ends at the last moment.
Drastic Times Call For Drastic Measures,When you are extremely desperate you need to take extremely desperate actions.
Drink like a fish,To drink very heavily.
Drive someone up the wall,To irritate and annoy very much.
Drive someone up the wall,To annoy very much.
Drive someone up the wall,To irritate very much.
Dropping Like Flies,A large number of people either falling dying.
Dropping Like Flies,A large number of people either falling ill.
Dry Run,Rehearsal.
Eighty Six,A certain item is no longer available.
Eighty Six,To throw away.
Elvis has left the building,The show has come to an end. It's all over.
Ethnic Cleansing,Killing of a certain ethnic group on a massive scale.
Ethnic Cleansing,Killing of a certain religious group on a massive scale.
Every Cloud Has A Silver Lining,Be optomistic even difficult times will lead to better days.
Everything But The Kitchen Sink,Almost everything and anything has been included.
Excuse my French,Please forgive me for cussing.
Cock and Bull Story,An unbelievable tale.
Cock and Bull Story,An unbelievable tale.
Feeding Frenzy,An aggressive attack on someone by a group.
Field Day,An enjoyable day.
Field Day,An enjoyable circumstance.
Finding Your Feet,To become more comfortable in whatever you are doing.
Finger lickin' good,A very tasty food.
Finger lickin' good,A very tasty meal.
Fixed In Your Ways,Not wanting to change from your normal way of doing something.
Fixed In Your Ways,Not willing to change from your normal way of doing something.
Flash In The Pan,Something that shows potential in the beginning but fails to deliver anything in the end.
Flash In The Pan,Something that shows looks promising in the beginning but fails to deliver anything in the end.
Flea Market,A swap meet. A place where people gather to buy and sell inexpensive goods.
Flesh and Blood,Living material of which people are made of.
Flip The Bird,To raise your middle finger at someone.
Foam at the Mouth,To be enraged and show it.
Fools' Gold,Iron pyrites a worthless rock that resembles real gold.
French Kiss,An open mouth kiss where tongues touch.
From Rags To Riches,To go from being very poor to being very wealthy.
Fuddy-duddy,An old-fashioned and foolish type of person.
Full Monty,The whole thing.
Full Monty,Completely nude.
Funny Farm,A mental institutional facility.
Get Down to Brass Tacks,To become serious about something.
Get Over It,To move beyond something that is bothering you.
Get Up On The Wrong Side Of The Bed,Someone who is having a horrible day.
Get Your Walking Papers,Get fired from a job.
Give Him The Slip,To get away from. To escape.
Go Down Like A Lead Balloon,To be received badly by an audience.
Go For Broke,To gamble everything you have.
Go Out On A Limb,Put yourself in a tough position in order to support someone.
Go Out On A Limb,Put yourself in a tough position in order to support something.
Go The Extra Mile,Going above and beyond whatever is required for the task at hand.
Good Samaritan,Someone who helps others when they are in need with no discussion for compensation and no thought of a reward.
Graveyard Shift,Working hours from about 12 am to 8 am. The time of the day when most other people are sleeping.
Great Minds Think Alike,Intelligent people think like each other.
Green Room,The waiting room especially for those who are about to go on a tv.
Green Room,The waiting room especially for those who are about to go on a radio show.
Gut Feeling,A personal intuition you get especially when feel something may not be right.
Haste Makes Waste,Quickly doing things results in a poor ending.
Hat Trick,When one player scores three goals in the same game.
He Lost His Head,Angry and overcome by emotions.
Head Over Heels,Very excited and joyful especially when in love.
Head Over Heels,Very joyful especially when in love.
Head Over Heels,Very excited especially when in love.
Hell in a Handbasket,Deteriorating and headed for complete disaster.
High Five,Slapping palms above each others heads as celebration gesture.
High on the Hog,Living in Luxury.
Hit The Books,To study especially for a test.
Hit The Books,To study especially for a exam.
Hit The Hay,Go to sleep.
Hit The Hay,Go to bed.
Hit The Nail on the Head,Say something exactly right.
Hit The Nail on the Head,Do something exactly right.
Hit The Sack,Go to bed.
Hit The Sack,Go to sleep.
Hocus Pocus,In general a term used in trickery.
Hocus Pocus,In general a term used in magic.
Hold Your Horses,Be patient.
Icing On The Cake,When you already have it good and get something on top of what you already have.
Idle Hands Are The Devil's Tools,You are more likely to get in trouble if you have nothing to do.
If It's Not One Thing It's Another,When one thing goes wrong then another and another...
In Like Flynn,To be easily successful especially when romantic.
In Like Flynn,To be easily successful especially when sexual.
In The Bag,To have something secured.
In The Buff,Nude.
In The Heat Of The Moment,Overwhelmed by what is happening in the moment.
In Your Face,An aggressive and bold confrontation.
It Takes Two To Tango,A two person conflict where both people are at fault.
It's A Small World,You frequently see the same people in different places.
Its Anyone's Call,A competition where the outcome is difficult to predict.
Its Anyone's Call,A competition where the outcome is difficult to judge.
Jaywalk,Crossing the street without using the crosswalk.
Joshing Me,Tricking me.
Keep An Eye On Him,You should carefully watch him.
Keep body and soul together,To earn a sufficient amount of money in order to keep yourself alive .
Keep your chin up,To remain joyful in a tough situation.
Kick The Bucket,Die.
Kitty-corner,Diagonally across. Sometimes called Catty-Corner as well.
Knee Jerk Reaction,A quick and automatic response.
Knock On Wood,Knuckle tapping on wood in order to avoid some bad luck.
Know the Ropes,To understand the details.
Last but not least,An introduction phrase to let the audience know that the last person mentioned is no less important than those introduced before him.
Last but not least,An introduction phrase to let the audience know that the last person mentioned is no less important than those introduced before her.
Lend Me Your Ear,To politely ask for someone's full attention.
Let Bygones Be Bygones,To forget about a disagreement.
Let Bygones Be Bygones,To forget about a arguement.
Let Sleeping Dogs Lie,To avoid restarting a conflict.
Let The Cat Out Of The Bag,To share a secret that wasn't suppose to be shared.
Level playing field,A fair competition where no side has an advantage.
Like a chicken with its head cut off,To act in a frenzied manner.
liquor someone up,To get someone drunk.
Long in the Tooth,Old people.
Loose Cannon,Someone who is unpredictable and can cause damage if not kept in check.
Make No Bones About,To state a fact so there are no doubts.
Make No Bones About,To state a fact so there are no objections.
Method To My Madness,Strange actions that appear meaningless but in the end are done for a good reason.
Method To My Madness,Crazy actions that appear meaningless but in the end are done for a good reason.
Mumbo Jumbo,Nonsense.
Mumbo Jumbo,Meaningless speech.
Mum's the word,To keep quiet. To say nothing.
Nest Egg,Savings set aside for future use.
Never Bite The Hand That Feeds You,Don't hurt anyone that helps you.
New kid on the block,Someone new to the group.
New kid on the block,Someone new to the area.
New York Minute,A minute that seems to go by quickly especially in a fast paced environment.
No Dice,To not agree. To not accept a proposition.
No Room to Swing a Cat,An unusually small space.
No Room to Swing a Cat,An unusually confined space.
Not Playing With a Full Deck,Someone who lacks intelligence.
Off On The Wrong Foot,Getting a bad start on a relationship.
Off On The Wrong Foot,Getting a bad start on a task.
Off The Hook,No longer have to deal with a tough situation.
Off the Record,Something said in confidence that the one speaking doesn't want attributed to him.
Off the Record,Something said in confidence that the one speaking doesn't want attributed to her.
On Pins And Needles,Anxious especially in anticipation of something.
On Pins And Needles,Nervous especially in anticipation of something.
On The Fence,Undecided.
On The Same Page,When multiple people all agree on the same thing.
Out Of The Blue,Something that suddenly and unexpectedly occurs.
Out On A Limb,When someone puts them self in a risky situation.
Out On The Town,To enjoy yourself by going out.
Over My Dead Body,When you absolutely will not allow something to happen.
Over the Top,Very excessive.
Pass The Buck,Avoid responsibility by giving it to someone else.
Pedal to the metal,To go full speed especially while driving a vehicle.
Peeping Tom,Someone who observes people in the nude people mainly for his own gratification.
Peeping Tom,Someone who observes people in the sexually active people mainly for his own gratification.
Pick up your ears,To listen very carefully.
Pig In A Poke,A deal that is made without first examining it.
Pig Out ,To eat alot and eat it quickly.
Pipe Down,To shut-up.
Pipe Down,To be quiet.
Practice Makes Perfect,By constantly practicing you will become better.
Pull the plug,To stop something. To bring something to an end.
Pulling Your Leg,Tricking someone as a joke.
Put a sock in it,To tell noisy person to be quiet.
Put a sock in it,To tell noisy group to be quiet.
Queer the pitch,Destroy a plan.
Queer the pitch,Ruin a plan.
Raincheck,An offer that is declined right now but willing to accept later.
Raincheck,A deal that is declined right now but willing to accept later.
Raining Cats and Dogs,A very loud and noisy rain storm.
Ring Fencing,Seperated usual judgement to guarantee protection especially project funds.
Rise and Shine,Time to get out of bed and get ready for work.
Rise and Shine,Time to get out of bed and get ready for school.
Rome Was Not Built In One Day,If you want something to be completely properly then its going to take time.
Rule Of Thumb,A rough estimate.
Run out of steam,To be completely out of energy.
Saved By The Bell,Saved at the last possible moment.
Scapegoat,Someone else who takes the blame.
Scot-free,To escape and not have to pay.
Sick As A Dog,To be very sick.
Sitting Shotgun,Riding in the front passenger seat of a car.
Sixth Sense,A paranormal sense that allows you to communicate with the dead.
Skid Row,The rundown area of a city where the homeless and drug users live.
Smell A Rat,To detect somone in the group is betraying the others.
Smell Something Fishy,Detecting that something isn't right and there might be a reason for it.
Son of a Gun,A scamp.
Southpaw,Someone who is left-handed.
Spitting Image,The exact likeness.
Spitting Image,The exact kind.
Start From Scratch,To do it all over again from the beginning.
The Ball Is In Your Court,It is your decision this time.
The Best Of Both Worlds,There are two choices and you have them both.
The Bigger They Are The Harder They Fall,While the bigger and stronger opponent might  be alot more difficult to beat when you do they suffer a much bigger loss.
The Last Straw,When one small burden after another creates an unbearable situation the last straw is the last small burden that one can take.
The Whole Nine Yards,Everything. All of it.
Third times a charm,After no success the first two times the third try is a lucky one.
Tie the knot,To get married.
Til the cows come home,A long time.
To Make A Long Story Short,Something someone would say during a long and boring story in order to keep his audience from losing attention.
To Make A Long Story Short,Something someone would say during a long and boring story in order to keep her audience from losing attention.
To Steal Someone's Thunder,To take the credit for something someone else did.
Tongue-in-cheek,Humor not to be taken serious.
Turn A Blind Eye,Refuse to acknowledge something you know is legit.
Turn A Blind Eye,Refuse to acknowledge something you know is real.
Twenty three skidoo,To be turned away.
Under the weather,Feeling ill.
Under the weather,Feeling sick.
Up a blind alley,Going down a course of action that leads to a bad outcome.
Use Your Loaf,Use your head. Think smart.
Van Gogh's ear for music,Tone deaf.
Variety Is The Spice Of Life,The more experiences you try the more exciting life can be.
Wag the Dog,A diversion away from something of greater importance.
Water Under The Bridge,Anything from the past that isn't significant anymore.
Water Under The Bridge,Anything from the past that isn't important anymore.
Wear Your Heart On Your Sleeve,To openly and freely express your emotions.
When It Rains It Pours,Since it rarely rains when it does it will be a huge storm.
When Pigs Fly ,Something that will never ever happen.
Wild and Woolly,Uncultured and without laws.
Wine and Dine,When somebody is treated to an expensive meal.
Without A Doubt,For certain.
X marks the spot,A phrase that is said when someone finds something he has been looking for.
X marks the spot,A phrase that is said when someone finds something she has been looking for.
You Are What You Eat,In order to stay healthy you must eat healthy foods.
You Can't Judge A Book By Its Cover,Decisions shouldn't be made primarily on appearance.
You Can't Take it With You,Enjoy what you have and not what you don't have since when you die you cannot take things with you.
Your Guess Is As Good As Mine,I have no idea.
Zero Tolerance,No crime big or small will be overlooked.
Zero Tolerance,No law breaking big or small will be overlooked.
Zero Tolerance,No crime will be overlooked.
Zero Tolerance,No law breaking will be overlooked.
A hot potato,Speak of an issue which many people are talking about and which is usually disputed.
A penny for your thoughts,A way of asking what someone is thinking.
Actions speak louder than words,People's intentions can be judged better by what they do than what they say.
Add insult to injury,To further a loss with mockery.
Add insult to injury,To further a loss with indignity.
Add insult to injury,To worsen an unfavorable situation.
An arm and a leg,Very expensive.
An arm and a leg,Very costly.
An arm and a leg,A large amount of money.
At the drop of a hat,Meaning: without any hesitation.
At the drop of a hat,Instantly.
Back to the drawing board,When an attempt fails and it's time to start all over.
Ball is in your court,It is up to you to make the next decision.
Ball is in your court,It is up to you to make the next step.
Barking up the wrong tree,Looking in the wrong place.
Barking up the wrong tree,Accusing the wrong person.
Be glad to see the back of,Be happy when a person leaves.
Beat around the bush,Avoiding the main topic.
Beat around the bush,Not speaking directly about the issue.
Best of both worlds,Having all of the benefits.
Best thing since sliced bread,A good invention.
Best thing since sliced bread,A good innovation.
Best thing since sliced bread,A good plan.
Best thing since sliced bread,A good idea.
Bite off more than you can chew,To take on a task that is way to big.
Blessing in disguise,Something good that isn't recognized at first.
Burn the midnight oil,To work late into the night.
Burn the midnight oil,Alluding to the time before electric lighting.
Can't judge a book by its cover,Cannot judge something primarily on appearance.
Caught between two stools,When someone finds it difficult to choose between two alternatives.
Costs an arm and a leg,Expensive.
Cross that bridge when you come to it,Deal with a problem if and when it becomes necessary.
Cry over spilt milk,When you complain about a loss from the past.
Curiosity killed the cat,Being Inquisitive can lead you into an unpleasant situation.
Cut corners,When something is done badly to save money.
Cut the mustard,To succeed.
Cut the mustard,To come up to expectations.
Cut the mustard,Adequate enough to compete.
Cut the mustard,Adequate enough to participate.
Devil's Advocate,To present a counter argument.
Don't count your chickens before the eggs have hatched,Don't make plans for something that might not happen.
Don't give up the day job,You are not very good at something.
Don't give up the day job,You could definitely not do it professionally.
Don't put all your eggs in one basket,Do not put all your resources in one possibility.
Drastic times call for drastic measures,When you are extremely desperate you need to take drastic actions.
Elvis has left the building,The show has come to an end.
Elvis has left the building,It's all over.
Every cloud has a silver lining,Be optimistic.
Every cloud has a silver lining,Even difficult times will lead to better days.
Far cry from,Very different from.
Feel a bit under the weather,Meaning: Feeling slightly ill.
Give the benefit of the doubt,Believe someone's statement.
Give the benefit of the doubt,Without proof.
Hear it on the grapevine,To hear rumors about something.
Hear it on the grapevine,To hear rumors about someone.
Hit the nail on the head,Do something exactly right.
Hit the nail on the head,Say something exactly right.
Hit the sack,To go to bed.
Hit the sheets,To go to bed.
Hit the hay,To go to bed.
In the heat of the moment,Overwhelmed by what is happening in the moment.
It takes two to tango,Actions need more than one person.
It takes two to tango,Communications need more than one person.
Jump on the bandwagon,Join a popular trend.
Jump on the bandwagon,Join a popular activity.
Keep something at bay,Keep something away.
Kill two birds with one stone,To accomplish two different things at the same time.
Last straw,The final problem in a series of problems.
Let sleeping dogs lie,Do not disturb a situation as it is - since it would result in trouble.
Let sleeping dogs lie,Do not disturb a situation as it is - since it would result in complications.
Let the cat out of the bag,To share information that was previously concealed.
Make a long story short,Come to the point.
Make a long story short,Leave out details.
Method to my madness,Having a hidden purpose.
Miss the boat,When someone missed her chance.
Miss the boat,When someone missed his chance.
Not a spark of decency,No manners.
Not playing with a full deck,Someone who lacks intelligence.
Off one's rocker,Crazy.
Off one's rocker,Demented.
Off one's rocker,Out of one's mind.
Off one's rocker,In a befuddled state of mind.
Off one's rocker,In a confused state of mind.
Off one's rocker,Senile.
On the ball,When someone understands the situation well.
Once in a blue moon,Meaning: Happens very rarely.
Picture paints a thousand words,A visual presentation is far more descriptive than words.
Piece of cake,A job that is easy.
Piece of cake,A task that is easy.
Piece of cake,A job that is simple.
Piece of cake,A task that is simple.
Put wool over other people's eyes,To deceive someone into thinking well of them.
See eye to eye,When two people agree.
Sit on the fence,When someone does not want to choose.
Sit on the fence,When someone does not want to make a decision.
Speak of the devil,This expression is used when the person you have just been talking about arrives.
Steal someone's thunder,To take the credit for something someone else did.
Take with a grain of salt,To not to take what someone says too seriously.
Taste of your own medicine,When something happens to you that you have done to someone else.
To hear something straight from the horse's mouth,To hear something from the authoritative source.
Whole nine yards,Everything.
Whole nine yards,All of it.
Wouldn't be caught dead,Would never like to do something.
Your guess is as good as mine,To have no idea.
Your guess is as good as mine,I do not know the answer to a question.
A grey area,Something unclear
A rip-off,Too expensive
Add fuel to the fire,To add more to an existing problem
As easy as ABC,Something is very easy
Call it a day,Time to quit
Cool as a cucumber,To be very calm under stress
Crack a book,Open up a book and study
Down to the wire,At the last minute
Draw a blank,Can't remember
Fill in the blanks,Provide more information
Get a kick out of it,Really enjoy/like something
Get your act together,Behave properly
Give it a shot,To try to do something
Have mixed feelings,Be unsure of how you feel
Have second thoughts,Have doubts
In hot water,Be in trouble
In the same boat,Be in the same situation
It's in the bag,It's a certainty
I've got your number,To say you can't be fooled by someone since you have them figured out
Miss the boat,You missed your chance
Mumbo jumbo,To call something total nonsense
Out of the blue,With no warning
Pass with flying colors,To succeed at something easily
Piece of cake,Something very easy
Read between the lines,Find the hidden meaning
Second to none,The best
The icing on the cake,Something additional that turns good into great
Cross your fingers,For good luck
Fell on deaf ears,People wouldn't listen to something
Get cold feet,Be nervous
Giving the cold shoulder,Ignore someone
Have a change of heart,Changed your mind
I'm all ears,You have my full attention
It cost an arm and a leg,It was expensive
Play it by ear,Improvise
See eye to eye,Agree
Slipped my mind,I forgot
Speak your mind,Say what you really feel
A bull in a china shop,Someone who is very clumsy
A little birdie told me,Someone told me a secret
Bee in her bonnet,She is upset
Birdbrain,Someone who is not very smart
Busy as a bee,To be very active and working hard at something
Cat got your tongue?,Why aren't you talking?
Cry crocodile tears,To pretend to be upset
Curiosity killed the cat,Asking too many questions may get you in trouble
Different kettle of fish,Something completely different
Doggy bag,A bag to take home leftovers from a restaurant
Fish out of water,Being somewhere you don't belong
For the birds,Something that is not worth anything
Get off your high horse,Quit thinking you are better than others
Goose is cooked,Now you're in trouble
Hold your horses,Wait a minute
Horse of a different color,Something that is quite different
Horse of a different color,Separate issue
Hot dog,A person doing athletic stunts that are dangerous
Let the cat out of the bag,Tell a secret
Make a mountain out of a molehill,Make something unimportant into a big deal
Night owl,Someone who stays up late
Pig out,To eat a lot
Put a bug in his ear,Make a suggestion
Raining cats and dogs,It is raining very hard
Snail's pace,To move extremely slow
Stir a hornet's nest,To cause a lot of trouble
Teacher's pet,The teacher's favorite student
The world is your oyster,You can achieve whatever/go wherever you want
When pigs fly,To say something is impossible
Wolf in sheep's clothing,A person who pretends to be nice but is not
You can't teach an old dog new tricks,It's harder for older people to learn new things
A bitter pill,A information that is unpleasant but must be accepted.
A bitter pill,A situation that is unpleasant but must be accepted.
A hot potato,A controversial situation that is awkward to deal with.
A hot potato,A controversial issue that is unpleasant to deal with.
A hot potato,A controversial situation that is unpleasant to deal with.
A hot potato,A controversial issue that is awkward to deal with.
A dime a dozen, Anything that is common to get.
A dime a dozen, Anything that is available anywhere.
A dime a dozen, Anything that is inexpensive to get.
A dime a dozen, Anything that is easy to get.
Ace in the hole,A hidden strength.
Ace in the hole,A secret strength.
Ace in the hole,An unrevealed advantage.
Achilles' heel,A metaphor for a fatal weakness in spite of overall strength.
All ears,Listening intently.
All ears,Fully focused.
All ears,Awaiting an explanation.
Ace in the hole,A hidden strength.
Ace in the hole,A secret strength.
All thumbs,Clumsy.
All thumbs,Awkward.
An arm and a leg,Very costly.
An arm and a leg,Very expensive.
An arm and a leg,A large amount of money.
Apple of discord,Anything causing trouble.
Apple of discord,Anything causing discord.
Apple of discord,Anything causing jealousy.
At the drop of a hat,Without any hesitation.
At the drop of a hat,Instantly.
Back to the drawing board,When an attempt fails and it's time to start planning all over again.
Ball is in his court,It is up to him to make the next decision.
Ball is in her court,It is up to her to make the next decision.
Ball is in your court,It is up to you to make the next decision.
Ball is in his court,It is up to him to make the next step.
Ball is in her court,It is up to her to make the next step.
Ball is in your court,It is up to you to make the next step.
Balls to the wall!,Full throttle.
Balls to the wall!,At maximum speed.
Barking up the wrong tree,Looking in the wrong place.
Basket case,One made powerless as by nerves.
Basket case,One made powerless as by panic.
Basket case,One made powerless by stress.
Basket case,One made ineffective as by nerves.
Basket case,One made ineffective as by panic.
Basket case,One made ineffective as by stress.
Beating a dead horse,To uselessly dwell on a subject far beyond its point of resolution.
Beat around the bush,To treat a topic but omit its main points.
Bed of roses,Easy and comfortable.
Bird Brain,a person that is not too smart.
Bird Brain,A person that acts stupid.
Bite off more than one can chew,To take on more responsibility than one can manage.
Bite the bullet,To endure a painful situation that is unavoidable.
Bite the bullet,To endure a unpleasant situation that is unavoidable.
Bite the dust,Euphemism for death.
Bought the farm,Euphemism for death.
Bite the dust,Euphemism for dying.
Bought the farm,Euphemism for dying.
Break a leg,Good luck.
Burn the midnight oil,To work late into the night.
Bust one's chops,To exert oneself.
By the seat of one's pants,To achieve through instinct.
By the seat of one's pants,To do something without advance preparation.
By the skin of one's teeth,Narrowly.
By the skin of one's teeth,Barely.
Call a spade a spade,To speak the truth.
Call it a day,To declare the end of a task.
Cat nap,A nap.
Champ at the bit,To show impatience when delayed.
Champ at the bit,To show frustration when delayed.
Cheap as chips,Inexpensive.
Cheap as chips,Good value.
Chew the fat,To chat idly.
Chew the fat,To waste time talking.
Chink in one's armor,An area of vulnerability.
Clam up,To become silent.
Clam up,To stop talking.
Cold shoulder,To display aloofness and disdain.
Couch potato,A lazy person.
Crocodile tears,Fake tears
Crocodile tears,Drama tears.
Cut off your nose to spite your face,Pursuing revenge in a way that would damage oneself more than the object of one's anger
Cut a rug,To dance
Cut the cheese,To fart.
Cut the mustard,To perform well.
Cut the mustard,To meet expectations.
Dig one's heels in,On genuine objection to some process.
Dig one's heels in,On genuine objection to some action.
Dig one's heels in,On genuine objection to some motion.
Don't count chickens before they hatch,Don't make plans for something that may not happen.
Don't count chickens before they hatch,Don't make an assumption about something that does not have a definitively predetermined outcome.
Don't have a cow,Don't overreact.
Drop a dime,Make a telephone call
Drop a dime,To be an informant.
Elephant in the room,An obvious issue left unaddressed due to its sensitive nature.
Elephant in the room,An pressing issue left unaddressed due to its sensitive nature.
Fit as a fiddle,In good physical health.
For a song,Almost free. Very cheap.
Fly in the ointment,The one tiny drawback that ruins it.
From A to Z,Covering a complete range.
From A to Z,Comprehensively.
To make from scratch,Make from original ingredients.
To make from scratch,Start from the beginning with no prior preparation.
From scratch,Make from original ingredients.
From scratch,Start from the beginning with no prior preparation.
He/She is a sandwich short of a picnic,The person is lacking intelligence.
Get bent out of shape,To take offense.
Get bent out of shape,To get worked up.
Get bent out of shape,To get aggravated.
Get bent out of shape,To get annoyed.
Get your goat,To irritate someone.
Grasp the nettle,To tackle a problem in a bold manner despite the difficulty of doing so.
Grasp the nettle,To tackle a problem in a bold manner despite the complexity of doing so.
Grasp the nettle,To solve a problem despite short-term adverse consequences.
Grasp the nettle,To tackle a problem in a bold manner.
Have a blast,To have a good time.
Have a blast,To enjoy oneself.
Have eyes in the back of one's head,Someone can perceive things and events that are outside of their field of vision.
Head over heels,Besmitten.
Head over heels,Infatuated.
Heard it through the grapevine,You learned something through means of a rumor.
Hit the ceiling,To become enraged.
Hit The Nail On The Head,To describe exactly what is causing a problem.
Hit The Nail On The Head,To describe exactly what is causing a situation.
Hit The Nail On The Head,To do exactly the right thing.
Hit The Nail On The Head,To do something in the most effective and efficient way.
Hit The Nail On The Head,To say exactly the right thing.
Hit The Nail On The Head,To find the exact answer.
Hit The Nail On The Head,To be accurate.
Hit The Nail On The Head,Correct about something.
Hit the road,To leave.
Hit the sack,To go to bed.
Hit the sheets,To go to bed.
Hit the hay,To go to bed.
Hit the sack,To go to sleep.
Hit the sheets,To go to sleep.
Hit the hay,To go to sleep.
Hit the spot,To be particularly pleasing.
Hit the spot,To be particularly appropriate.
Hit the spot,To be just right.
Hook line and sinker,To be completely fooled by a deception.
Ignorance is bliss,Life is good when you're naive to the hardships happening all around
Jump ship,Leave a activity suddenly.
Jump ship,Leave a job suddenly.
Jump ship,Leave a organization suddenly.
Just my two cents, Just the information I have on the subject.
Kick the bucket,Euphemism for death.
Kick the bucket,Euphemism for dying.
Kick the habit,Stop engaging in a habitual practice.
Kill two birds with one stone,To accomplish two different tasks at the same time and with a single action.
Kill two birds with one stone,To accomplish two different tasks at the same time.
Kill two birds with one stone,To accomplish two different tasks with a single action.
Let the cat out of the bag,To reveal a secret.
Look a gift horse in the mouth,To find fault with something that has been received as a gift.
Look a gift horse in the mouth,To find fault with something that has been received as a favor.
Method to (one's) madness,Despite someone's random approach there is actually some structure to it.
Nip (something) in the bud,To stop something at an early stage.
No horse in this race,No vested interest in the outcome of a particular contest.
No horse in this race,No vested interest in the outcome of a particular debate.
Off one's rocker,Crazy.
Off one's rocker,Demented.
Off one's rocker,Out of one's mind.
Off one's rocker,In a confused state of mind.
Off one's rocker,In a befuddled state of mind.
Off one's trolley,Senile.
Off one's trolley,Crazy.
Off one's trolley,Demented.
Off one's trolley,Out of one's mind.
Off one's trolley,In a confused state of mind.
Off one's trolley,In a befuddled state of mind.
Off one's trolley,Senile.
Off the hook,To escape a situation of obligation.
