To get bent out of shape,To get angry,To get angry
To get bent out of shape,To get sad,To get sad
To get bent out of shape,To get mad,To get mad
To get bent out of shape,To get disturbed,To get disturbed
To get bent out of shape,To get perturbed,To get perturbed
To make matters worse,Make a problem worse,Make a problem worse
To make matters worse,Make an issue worse,Make an issue worse
Under the weather,Sick,Sick
Under the weather,Ill,Ill
We'll cross that bridge when we come to it,Let's not talk about that problem right now,Let is not talk about that problem right now
We'll cross that bridge when we come to it,Let's not talk about that problem,Let is not talk about that problem
We'll cross that bridge when we come to it,Let's not talk about that problem for now,Let is not talk about that problem for now
We'll cross that bridge when we come to it,Let's talk about the problem later,Let is talk about the problem later
We'll cross that bridge when we come to it,Let's not talk about that issue right now,Let is not talk about that issue right now
We'll cross that bridge when we come to it,Let's not talk about that issue,Let is not talk about that issue
We'll cross that bridge when we come to it,Let's not talk about that issue for now,Let is not talk about that issue for now
We'll cross that bridge when we come to it,Let's talk about the issue later,Let is talk about the issue later
We'll cross that bridge when we come to it,Let's not talk about that topic right now,Let is not talk about that topic right now
We'll cross that bridge when we come to it,Let's not talk about that topic,Let is not talk about that topic
We'll cross that bridge when we come to it,Let's not talk about that topic for now,Let is not talk about that topic for now
We'll cross that bridge when we come to it,Let's talk about the topic later,Let is talk about the topic later
Wrap your head around something,Understand something complicated,Understand something complicated
Wrap your head around something,Understand something difficult,Understand something difficult
Wrap your head around something,Understand something confusing,Understand something confusing
Wrap your head around something,Learn something complicated,Learn something complicated
Wrap your head around something,Learn something confusing,Learn something confusing
Wrap your head around something,Learn something difficult,Learn something difficult
You can say that again,That's true I agree,That is true I agree
You can say that again,That's true,That is true
You can say that again,I agree,I agree
You can say that again,Correct,Correct
You can say that again,Right,Right
Your guess is as good as mine,I have no idea,I have no idea
Your guess is as good as mine,I have no clue,I have no clue
Your guess is as good as mine,I don't know,I do not know
A bird in the hand is worth two in the bush,What you have is worth more than what you might have later,What you have is worth more than what you might have later
A bird in the hand is worth two in the bush,What you have now is worth more than what you might have later,What you have now is worth more than what you might have later
A bird in the hand is worth two in the bush,What you currently have is worth more than what you might have later,What you currently have is worth more than what you might have later
A penny for your thoughts,Tell me what you're thinking,Tell me what you are thinking
A penny for your thoughts,Tell me your thoughts,Tell me your thoughts
A penny for your thoughts,What are you thinking about,What are you thinking about
A penny saved is a penny earned,Money you save today you can spend later,Money you save today you can spend later
A penny saved is a penny earned,Money you save now can be spent later,Money you save now can be spent later
A penny saved is a penny earned,Money saved is money earned,Money saved is money earned
A penny saved is a penny earned,Saving money is earning money,Saving money is earning money
A penny saved is a penny earned,Saving is earning,Saving is earning
A perfect storm,the worst possible situation,the worst possible situation
A perfect storm,the worst situation,the worst situation
A perfect storm,the worst possible scenario,the worst possible scenario
A perfect storm,the worst scenario,the worst scenario
A picture is worth 1000 words,Better to show than tell,Better to show than tell
A picture is worth 1000 words,Showing is better than telling,Showing is better than telling
A picture is worth 1000 words,Show don't tell,Show do not tell
A picture is worth 1000 words,Better to show than tell,Better to show than tell
Actions speak louder than words,Believe what people do and not what they say,Believe what people do and not what they say
Actions speak louder than words,Follow what people do and not what they say,Follow what people do and not what they say
Actions speak louder than words,Watch what people do and not what they say,Watch what people do and not what they say
Add insult to injury,To make a bad situation worse,To make a bad situation worse
Barking up the wrong tree,To be mistaken to be looking for solutions in the wrong place,To be mistaken to be looking for solutions in the wrong place
Barking up the wrong tree,Looking in the wrong place,Looking in the wrong place
Barking up the wrong tree,Searching in the wrong place,Searching in the wrong place
Birds of a feather flock together,People who are alike are often friends,People who are alike are often friends
Birds of a feather flock together,People who are similar are often friends,People who are similar are often friends
Birds of a feather flock together,People who are alike are usually friends,People who are alike are usually friends
Birds of a feather flock together,People who are similar are usually friends,People who are similar are usually friends
Birds of a feather flock together,People who are alike are friends,People who are alike are friends
Birds of a feather flock together,People who are similar are friends,People who are similar are friends
Bite off more than you can chew,Take on a project that you cannot finish,Take on a project that you can not finish
Bite off more than you can chew,Take on a project that you can't finish,Take on a project that you can not finish
Bite off more than you can chew,Do a project that you cannot finish,Do a project that you can not finish
Bite off more than you can chew,Do a project that you can't finish,Do a project that you can not finish
Bite off more than you can chew,Take on a project that you cannot complete,Take on a project that you can not complete
Bite off more than you can chew,Take on a project that you can't complete,Take on a project that you can not complete
Bite off more than you can chew,Do a project that you cannot complete,Do a project that you can not complete
Bite off more than you can chew,Do a project that you can't complete,Do a project that you can not complete
Break the ice,Make people feel more comfortable,Make people feel more comfortable
Break the ice,Make people feel comfortable,Make people feel comfortable
Break the ice,Make people feel more welcome,Make people feel more welcome
Break the ice,Make people feel welcome,Make people feel welcome
By the skin of your teeth,Just barely,Just barely
By the skin of your teeth,Just slightly,Just slightly
Comparing apples to oranges,Comparing two things that cannot be compared,Comparing two things that can not be compared
Comparing apples to oranges,Comparing two incomparable things,Comparing two incomparable things
Comparing apples to oranges,Comparing two things that cannot be compared,Comparing two things that can not be compared
Comparing apples to oranges,Comparing two things that can't be compared,Comparing two things that can not be compared
Comparing apples to oranges,Comparing two things that can't be compared,Comparing two things that can not be compared
Costs an arm and a leg,Very expensive,Very expensive
Costs an arm and a leg,Costs a lot of money,Costs a lot of money
Costs an arm and a leg,Expensive,Expensive
Do something at the drop of a hat,Do something without having planned beforehand,Do something without having planned beforehand
Do something at the drop of a hat,Do something without planning beforehand,Do something without planning beforehand
Do something at the drop of a hat,Do something without planning,Do something without planning
Do unto others as you would have them do unto you,Treat people fairly,Treat people fairly
Do unto others as you would have them do unto you,Treat people equally,Treat people equally
Do unto others as you would have them do unto you,Treat others fairly,Treat others fairly
Do unto others as you would have them do unto you,Treat others equally,Treat others equally
Don't count your chickens before they hatch,Don't count on something good happening until it's happened,Do not count on something good happening until it is happened
Don't count your chickens before they hatch,Don't prematurely count on something good happening,Do not prematurely count on something good happening
Don't cry over spilt milk,There's no reason to complain about something that can't be fixed,There is no reason to complain about something that can not be fixed
Don't cry over spilt milk,Don't complain about things that can't be fixed,Do not complain about things that can not be fixed
Don't cry over spilt milk,There's no reason to complain about something that can't be solved,There is no reason to complain about something that can not be solved
Don't cry over spilt milk,Don't complain about things that can't be solved,Do not complain about things that can not be solved
Don't give up your day job,You're not very good at this,You are not very good at this
Don't give up your day job,You're very bad at this,You are very bad at this
Don't give up your day job,You're not good at this,You are not good at this
Don't give up your day job,You're bad at this,You are bad at this
Don't put all your eggs in one basket,What you're doing is too risky,What you are doing is too risky
Don't put all your eggs in one basket,You're doing something risky,You are doing something risky
Don't put all your eggs in one basket,You're doing something with a lot of risk involved,You are doing something with a lot of risk involved
Every cloud has a silver lining,Good things come after bad things,Good things come after bad things
Every cloud has a silver lining,Good times come after bad times,Good times come after bad times
Get a taste of your own medicine,Get treated the way you've been treating others,Get treated the way you have been treating others
Get a taste of your own medicine,Get treated the way you treat others,Get treated the way you treat others
Give someone the cold shoulder,Ignore someone,Ignore someone
Give someone the cold shoulder,Shun someone,Shun someone
Give someone the cold shoulder,Pay no attention to someone,Pay no attention to someone
Go on a wild goose chase,To do something pointless,To do something pointless
Go on a wild goose chase,Do something pointless,Do something pointless
Good things come to those who wait,Be patient,Be patient
Good things come to those who wait,Patience pays off,Patience pays off
Good things come to those who wait,Being patience pays off,Being patience pays off
He has bigger fish to fry,He has bigger things to take care of than what we are talking about now,He has bigger things to take care of than what we are talking about now
He has bigger fish to fry,He has bigger things to take care of,He has bigger things to take care of
He's a chip off the old block,The son is like the father,The son is like the father
He's a chip off the old block,The son is like the father,The son is like the father
Hit the nail on the head,Get something exactly right,Get something exactly right
Hit the nail on the head,Get something perfectly right,Get something perfectly right
Hit the nail on the head,Get something right,Get something right
Hit the nail on the head,Get something exactly correct,Get something exactly correct
Hit the nail on the head,Get something perfectly correct,Get something perfectly correct
Hit the nail on the head,Get something correct,Get something correct
Ignorance is bliss,You're better off not knowing,You are better off not knowing
Ignorance is bliss,It is better to not know,It is better to not know
It ain't over till the fat lady sings,This isn't over yet,This is not over yet
It ain't over till the fat lady sings,It's not over yet,It is not over yet
It takes one to know one,You're just as bad as I am,You are just as bad as I am
It takes one to know one,You're as bad as I am,You are as bad as I am
It takes one to know one,You're just as terrible as I am,You are just as terrible as I am
It takes one to know one,You're as terrible as I am,You are as terrible as I am
It's a piece of cake,It's easy,It is easy
It's a piece of cake,It's simple,It is simple
It's a piece of cake,It's not complicated,It is not complicated
It's a piece of cake,It's not hard,It is not hard
It's raining cats and dogs,It's raining a lot,It is raining a lot
It's raining cats and dogs,There is a lot of rain,There is a lot of rain
It's raining cats and dogs,It's raining a ton,It is raining a ton
It's raining cats and dogs,It's raining heavily,It is raining heavily
Kill two birds with one stone,Get two things done with a single action,Get two things done with a single action
Kill two birds with one stone,Do two things at once,Do two things at once
Kill two birds with one stone,Complete two things with a single action,Complete two things with a single action
Kill two birds with one stone,Complete two things in a single action,Complete two things in a single action
Kill two birds with one stone,Get two things done with a single go,Get two things done with a single go
Kill two birds with one stone,Complete two things with a single go,Complete two things with a single go
Kill two birds with one stone,Complete two things in a single go,Complete two things in a single go
Let the cat out of the bag,Give away a secret,Give away a secret
Let the cat out of the bag,Tell a secret,Tell a secret
Let the cat out of the bag,Reveal a secret,Reveal a secret
Let the cat out of the bag,Reveal the information,Reveal the information
Live and learn,I made a mistake,I made a mistake
Live and learn,We all make mistakes,We all make mistakes
Look before you leap,Take only calculated risks,Take only calculated risks
Look before you leap,Calculate your risks,Calculate your risks
Look before you leap,Know your risks,Know your risks
Look before you leap,Take only known risks,Take only known risks
On thin ice,On probation If you make another mistake there will be trouble,On probation If you make another mistake there will be trouble
On thin ice,There will be trouble if you make another mistake,There will be trouble if you make another mistake
On thin ice,On probation If you make another mistake there will be issues,On probation If you make another mistake there will be issues
On thin ice,There will be issues if you make another mistake,There will be issues if you make another mistake
On thin ice,On probation If you make another mistake there will be problems,On probation If you make another mistake there will be problems
On thin ice,There will be problems if you make another mistake,There will be problems if you make another mistake
Once in a blue moon,Rarely,Rarely
Once in a blue moon,Uncommonly,Uncommonly
Play devil's advocate,To argue the opposite just for the sake of argument,To argue the opposite just for the sake of argument
Play devil's advocate,Disagreeing for the sake of disagreeing,Disagreeing for the sake of disagreeing
Put something on ice,Put a project on hold,Put a project on hold
Put something on ice,Delay a project,Delay a project
Put something on ice,Delay an idea,Delay an idea
Put something on ice,Put an idea on hold,Put an idea on hold
Rain on someone's parade,To spoil something,To spoil something
Rain on someone's parade,To ruin something,To ruin something
Rain on someone's parade,To spoil something for someone,To spoil something for someone
Rain on someone's parade,To ruin something for someone,To ruin something for someone
Saving for a rainy day,Saving money for later,Saving money for later
Saving for a rainy day,Saving money,Saving money
Saving for a rainy day,To save money for later,To save money for later
Saving for a rainy day,To save money,To save money
Saving for a rainy day,To save,To save
Slow and steady wins the race,Reliability is more important than speed,Reliability is more important than speed
Slow and steady wins the race,Reliability is better than speed,Reliability is better than speed
Spill the beans,Give away a secret,Give away a secret
Spill the beans,Reveal a secret,Reveal a secret
Spill the beans,Tell a secret,Tell a secret
Spill the beans,Reveal the information,Reveal the information
Take a rain check,Postpone a plan,Postpone a plan
Take a rain check,To Postpone,To Postpone
Take a rain check,To Delay,To Delay
Take a rain check,Delay a play,Delay a play
Take a rain check,Postpone an event,Postpone an event
Take a rain check,Delay an event,Delay an event
Take it with a grain of salt,Don’t take it too seriously,Don ’ t take it too seriously
Take it with a grain of salt,Take it lightly,Take it lightly
Take it with a grain of salt,Take it light heartedly,Take it light heartedly
The ball is in your court,It's your decision,It is your decision
The ball is in your court,It's up to you,It is up to you
The best thing since sliced bread,A really good invention,A really good invention
The best thing since sliced bread,A really good creation,A really good creation
The best thing since sliced bread,A really good idea,A really good idea
The devil is in the details,It looks good from a distance but when you look closer there are problems,It looks good from a distance but when you look closer there are problems
The devil is in the details,There are problems upon closer viewing,There are problems upon closer viewing
The devil is in the details,There are problems upon closer inspection,There are problems upon closer inspection
The devil is in the details,There are problems in the details,There are problems in the details
The devil is in the details,It looks good from a distance but when you look closer there are faults,It looks good from a distance but when you look closer there are faults
The devil is in the details,There are faults upon closer viewing,There are faults upon closer viewing
The devil is in the details,There are faults upon closer inspection,There are faults upon closer inspection
The devil is in the details,There are faults in the details,There are faults in the details
The early bird gets the worm,The first people who arrive will get the best stuff,The first people who arrive will get the best stuff
The early bird gets the worm,The earlier the better,The earlier the better
The early bird gets the worm,Being early is good,Being early is good
The elephant in the room,The big issue people are avoiding,The big issue people are avoiding
The elephant in the room,The big problem people are avoiding,The big problem people are avoiding
The elephant in the room,The big issue that is being avoided,The big issue that is being avoided
The elephant in the room,The big problem that is being avoided,The big problem that is being avoided
The elephant in the room,The issue that is being avoided,The issue that is being avoided
The elephant in the room,The problem that is being avoided,The problem that is being avoided
The elephant in the room,The issue people are avoiding,The issue people are avoiding
The elephant in the room,The problem people are avoiding,The problem people are avoiding
The whole nine yards,Everything,Everything
The whole nine yards,All the way,All the way
The whole nine yards,All of it,All of it
There are other fish in the sea,It's ok to miss this opportunity because others will arise,It is ok to miss this opportunity because others will arise
There are other fish in the sea,There will be more opportunities,There will be more opportunities
There are other fish in the sea,There will be more chances,There will be more chances
There's a method to his madness,He seems crazy but actually he's clever,He seems crazy but actually he is clever
There's a method to his madness,There is a reason behind his craziness,There is a reason behind his craziness
There's a method to his madness,There is a reason behind his process,There is a reason behind his process
There's no such thing as a free lunch,Nothing is entirely free,Nothing is entirely free
There's no such thing as a free lunch,Nothing is free,Nothing is free
There's no such thing as a free lunch,Nothing comes free,Nothing comes free
There's no such thing as a free lunch,Nothing is for free,Nothing is for free
Throw caution to the wind,Take a risk,Take a risk
Throw caution to the wind,Take a gamble,Take a gamble
You can't have your cake and eat it too,You can't have everything,You can not have everything
You can't have your cake and eat it too,You can't have it all,You can not have it all
You can't have your cake and eat it too,You can't have all of it,You can not have all of it
You can't judge a book by its cover,This person may look bad but it's good inside,This person may look bad but it is good inside
You can't judge a book by its cover,This thing may look bad but it's good inside,This thing may look bad but it is good inside
You can't judge a book by its cover,What looks bad may be good,What looks bad may be good
You can't judge a book by its cover,Don't judge something by face value,Do not judge something by face value
A little learning is a dangerous thing,People who don't understand something fully are dangerous,People who do not understand something fully are dangerous
A snowball effect,Events have momentum and build upon each other,Events have momentum and build upon each other
A snowball effect,Events pile up,Events pile up
A snowball's chance in hell,No chance at all,No chance at all
A snowball's chance in hell,Not a chance,Not a chance
A stitch in time saves nine,Fix the problem now because it will get worse later,Fix the problem now because it will get worse later
A stitch in time saves nine,Fix the problem now,Fix the problem now
A stitch in time saves nine,Fix the problem otherwise it will get worse,Fix the problem otherwise it will get worse
A storm in a teacup,A big fuss about a small problem,A big fuss about a small problem
A storm in a teacup,Make a big problem out of nothing,Make a big problem out of nothing
A storm in a teacup,Make a problem out of nothing,Make a problem out of nothing
A storm in a teacup,Making a big deal out of nothing,Making a big deal out of nothing
A storm in a teacup,Make a big problem out of a small problem,Make a big problem out of a small problem
A storm in a teacup,Make a problem out of a small problem,Make a problem out of a small problem
A storm in a teacup,Making a big deal out of a small problem,Making a big deal out of a small problem
An apple a day keeps the doctor away,Apples are good for you,Apples are good for you
An apple a day keeps the doctor away,Apples are good,Apples are good
An apple a day keeps the doctor away,It is good to eat apples,It is good to eat apples
An ounce of prevention is worth a pound of cure,You can prevent a problem with little effort,You can prevent a problem with little effort
An ounce of prevention is worth a pound of cure,Fixing it later is harder,Fixing it later is harder
As right as rain,Perfect,Perfect
As right as rain,Fantastic,Fantastic
As right as rain,Lovely,Lovely
Bolt from the blue,Something that happened without warning,Something that happened without warning
Bolt from the blue,Something that happened by surprise,Something that happened by surprise
Bolt from the blue,Something that happened spontaneously,Something that happened spontaneously
Burn bridges,Destroy relationships,Destroy relationships
Burn bridges,End relationships,End relationships
Calm before the storm,Something bad is coming but right now it's calm,Something bad is coming but right now it is calm
Calm before the storm,Something bad is coming,Something bad is coming
Calm before the storm,Something bad is about to happen,Something bad is about to happen
Calm before the storm,Something terrible is coming,Something terrible is coming
Calm before the storm,Something terrible is about to happen,Something terrible is about to happen
Calm before the storm,Something terrible is coming but right now it's calm,Something terrible is coming but right now it is calm
Come rain or shine,No matter what,No matter what
Come rain or shine,No matter anything,No matter anything
Come rain or shine,No matter the odds,No matter the odds
Curiosity killed the cat,Stop asking questions,Stop asking questions
Curiosity killed the cat,Don't ask questions,Do not ask questions
Curiosity killed the cat,Don't inquire,Do not inquire
Cut the mustard,Do a good job,Do a good job
Cut the mustard,Do a great job,Do a great job
Don't beat a dead horse,Move on this subject is over,Move on this subject is over
Don't beat a dead horse,Move on from this subject,Move on from this subject
Don't beat a dead horse,Move on from this topic,Move on from this topic
Don't beat a dead horse,Change this subject,Change this subject
Don't beat a dead horse,Change this topic,Change this topic
Don't beat a dead horse,Change the subject,Change the subject
Don't beat a dead horse,Change the topic,Change the topic
Every dog has his day,Everyone gets a chance at least once,Everyone gets a chance at least once
Every dog has his day,Everyone gets a chance,Everyone gets a chance
Every dog has his day,Everyone gets an opportunity,Everyone gets an opportunity
Familiarity breeds contempt,The better you know someone the less you like him,The better you know someone the less you like him
Familiarity breeds contempt,The more you know someone the less you like him,The more you know someone the less you like him
Familiarity breeds contempt,The more you know someone the less you like him,The more you know someone the less you like him
Familiarity breeds contempt,The better you know someone the less you like them,The better you know someone the less you like them
Familiarity breeds contempt,The more you know someone the less you like them,The more you know someone the less you like them
Familiarity breeds contempt,The more you know someone the less you like them,The more you know someone the less you like them
Fit as a fiddle,In good health,In good health
Fit as a fiddle,Good health,Good health
Fit as a fiddle,Healthy,Healthy
Fortune favors the bold,Take risks,Take risks
Fortune favors the bold,Try things,Try things
Fortune favors the bold,Try anything,Try anything
Get a second wind,Have more energy after having been tired,Have more energy after having been tired
Get a second wind,To have more energy after having been tired,To have more energy after having been tired
Get a second wind,Regain your energy,Regain your energy
Get a second wind,To regain your energy,To regain your energy
Get wind of something,Hear news of something secret,Hear news of something secret
Get wind of something,Hear news,Hear news
Get wind of something,Learn about something,Learn about something
Get wind of something,Learn about some news,Learn about some news
Get wind of something,Learn about some secrets,Learn about some secrets
Go down in flames,Fail spectacularly,Fail spectacularly
Go down in flames,Fail,Fail
Go down in flames,Fail greatly,Fail greatly
Haste makes waste,You'll make mistakes if you rush through something,You will make mistakes if you rush through something
Haste makes waste,Don't rush through things,Do not rush through things
Haste makes waste,Don't rush,Do not rush
Haste makes waste,Don't be in a haste,Do not be in a haste
Haste makes waste,Don't be in a rush,Do not be in a rush
Have your head in the clouds,Not be concentrating,Not be concentrating
Have your head in the clouds,To not concentrate,To not concentrate
Have your head in the clouds,To not pay attention,To not pay attention
Hear something straight from the horse's mouth,Hear something from the person involved,Hear something from the person involved
Hear something straight from the horse's mouth,Hear something from the those involved,Hear something from the those involved
Hear something straight from the horse's mouth,Hear the information from the person involved,Hear the information from the person involved
He's not playing with a full deck,He's dumb,He is dumb
He's not playing with a full deck,He's stupid,He is stupid
He's not playing with a full deck,He's not being smart,He is not being smart
He's off his rocker,He's crazy,He is crazy
He's off his rocker,He's insane,He is insane
He's sitting on the fence,He can't make up his mind,He can not make up his mind
He's sitting on the fence,He can't make a decision,He can not make a decision
He's sitting on the fence,He is debating a decision,He is debating a decision
He's sitting on the fence,He is making a decision,He is making a decision
It is a poor workman who blames his tools,If you can't do the job don't blame it on others,If you can not do the job do not blame it on others
It is a poor workman who blames his tools,Don't blame others for your shortcomings,Do not blame others for your shortcomings
It is a poor workman who blames his tools,Don't blame others for your inability,Do not blame others for your inability
It is a poor workman who blames his tools,Don't blame others for your inability to do things,Do not blame others for your inability to do things
It is always darkest before the dawn,Things are going to get better,Things are going to get better
It is always darkest before the dawn,Things will get better,Things will get better
It is always darkest before the dawn,Things will become better,Things will become better
It is always darkest before the dawn,It will get better,It will get better
It takes two to tango,One person alone isn't responsible,One person alone is not responsible
It takes two to tango,Both people are involved,Both people are involved
It takes two to tango,Both of you are responsible,Both of you are responsible
It takes two to tango,Both of us are responsible,Both of us are responsible
Jump on the bandwagon,Follow a trend do what everyone else is doing,Follow a trend do what everyone else is doing
Jump on the bandwagon,Follow a trend,Follow a trend
Jump on the bandwagon,Do what others are doing,Do what others are doing
Know which way the wind is blowing,Understand the situation,Understand the situation
Know which way the wind is blowing,Understand the circumstances,Understand the circumstances
Know which way the wind is blowing,In the current situation,In the current situation
Know which way the wind is blowing,Understand the current circumstances,Understand the current circumstances
Leave no stone unturned,Look everywhere,Look everywhere
Leave no stone unturned,Look around everywhere,Look around everywhere
Let sleeping dogs lie,Stop discussing an issue,Stop discussing an issue
Let sleeping dogs lie,Stop talking about this issue,Stop talking about this issue
Let sleeping dogs lie,Stop discussing this,Stop discussing this
Like riding a bicycle,Something you never forget how to do,Something you never forget how to do
Like riding a bicycle,Something easy,Something easy
Like riding a bicycle,Something easy to do,Something easy to do
Like two peas in a pod,They're always together,They are always together
Like two peas in a pod,They're meant for each other,They are meant for each other
Like two peas in a pod,They're perfect for each other,They are perfect for each other
Like two peas in a pod,They're always together,They are always together
Make hay while the sun shines,Take advantage of the situation,Take advantage of the situation
Make hay while the sun shines,Take advantage,Take advantage
Make hay while the sun shines,Leverage the situation,Leverage the situation
On cloud nine,Very happy,Very happy
On cloud nine,Really happy,Really happy
On cloud nine,Super happy,Super happy
On cloud nine,Happy,Happy
Once bitten twice shy,You're more cautious when you've been hurt before,You are more cautious when you have been hurt before
Once bitten twice shy,You're more cautious after you've been hurt,You are more cautious after you have been hurt
Once bitten twice shy,You become more cautious after you have been hurt,You become more cautious after you have been hurt
Out of the frying pan and into the fire,Things are going from bad to worse,Things are going from bad to worse
Out of the frying pan and into the fire,Things are getting worse,Things are getting worse
Out of the frying pan and into the fire,Things are getting even worse,Things are getting even worse
Out of the frying pan and into the fire,It is getting worse,It is getting worse
Out of the frying pan and into the fire,It is getting even worse,It is getting even worse
Run like the wind,Run quickly,Run quickly
Run like the wind,Run fast,Run fast
Shape up or ship out,Work better or leave,Work better or leave
Shape up or ship out,Do better or leave,Do better or leave
